0,1,2,3,4,5,6,label,class
-0.3388889931285461,-0.6736425342017325,-0.3893630078294631,-0.3826825815205305,-0.7687053625001129,-0.7192164437474026,2.8313842026652867,单门,门
-0.4251784946132644,-0.8474572429641095,0.3761365069108725,0.3760086314239887,0.7520813191824127,-0.047447925398947835,3.8834325643454863,电梯门,门
-0.2547822311695199,-0.500354272177699,0.15279388234516084,0.1626261238330068,0.320336295847842,-0.08704739664520833,3.374865439374509,井门,门
-0.3321690464566551,-0.658072484649611,-0.2728694243189055,-0.26580935262782657,-0.5351486237756439,-0.5941472942590822,2.5985321784950317,窗,窗
-0.2958384620197784,-0.5852220883760346,0.17373239699408918,0.1814281506999656,0.3590086697166108,-0.1103614497980596,3.3326523799257166,窗,窗
-0.6304735309673157,-1.2596311952212542,-0.9523283259795076,-0.9495162028638444,-1.9004384591239287,-1.5790373096864945,1.8120512728700424,双开门,门
-0.9111445133235068,-1.821795905048182,-1.244567930965354,-1.2444288100600305,-2.488927180556328,-2.155304282006121,2.572094073233838,窗,窗
-0.7004796347502388,-1.3997827134745275,-1.1707780479080048,-1.1700860656090128,-2.3405181222546934,-1.8699192774458544,2.301649339444875,推拉门,门
-0.4216923950701502,-0.8389013536201436,-0.4475821054947217,-0.4429326692098065,-0.8881900154380918,-0.8618686600044856,2.4731395599058112,门联窗,窗
-0.0824385158684877,-0.13650484719017014,0.4891972940707098,0.5069560894989256,1.0050527099525015,0.4404601235362336,3.0236807590336823,半弧门,门
